Index,sample url,Unnamed: 2,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintainance,add module,move module,remove module,split module,add package,remove package,update package,liscence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,Validity Assurance(Deprecated),evaluating chng(Deprecated),param list chng,add config,"revert(deprecated, merge with source control)",util optimization(Deprecated)
99,,https://github.com/google/youtube-8m/commit/53ba9e5279232cc51c5a7c8111e695c596992636,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
102,https://github.com/google/youtube-8m/pull/21,https://github.com/google/youtube-8m/commit/f3413a88bb59fb8085b9f33bd899d2b82f5b5e2e,Rater_1Rater_0,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
104,,https://github.com/google/youtube-8m/commit/10aa298bacac98bb0395b4d6e30a9a02e3a1845b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
105,,https://github.com/google/youtube-8m/commit/8381d47979d8e95c3678496e166cebd9ba149ba1,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
107,,https://github.com/google/youtube-8m/commit/8368971b4469fcc676f335c98da8e85242599682,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
108,,https://github.com/google/youtube-8m/commit/0e526caace96d3cf6f0686757d568f9ffba998b4,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
114,,https://github.com/google/youtube-8m/commit/462baeeb1209e3add9ed728c4b0f9dd6dde9ba9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
295,,https://github.com/Russell91/TensorBox/commit/0ef7ddf866521e2efbc99e0eae6cbc4357b22842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_2Rater_1Rater_0,,,,,,,Rater_2Rater_0,,,,,,,,
480,,https://github.com/GeorgeSeif/Semantic-Segmentation-Suite/commit/f19ead7daed571e72da9b073a572cc14731e155f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
532,,https://github.com/AlexEMG/DeepLabCut/commit/6568c2ba6facf5d90b2c39af7b0f024a40f2b15f,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,
