Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintainance,add module,move module,remove module,split module,add package,remove package,update package,liscence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build/config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,Validity Assurance(Deprecated),evaluating chng(Deprecated),param list chng,add config,"revert(deprecated, merge with source control)",util optimization(Deprecated)
73,https://github.com/google/youtube-8m/commit/6062f7c4866989b19a71cc95faff7debd734fd75,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,https://github.com/yangyanli/PointCNN/commit/335527012fc436f08b2fa180d504dafd2bd928be,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,https://github.com/AlexEMG/DeepLabCut/commit/d374796cdcd44f6564c851d7842651b802e0ab82,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,https://github.com/AlexEMG/DeepLabCut/commit/723174e2f786a9544c3dff9a2f3e28d9732ee341,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,https://github.com/cysmith/neural-style-tf/commit/b98313851963e9b0a92825e37f1722fedf07067b,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,https://github.com/davidsandberg/facenet/commit/520c98b4ccc3371a918eb0d25e6ddcd4c4542230,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,https://github.com/lengstrom/fast-style-transfer/commit/44cf6813640782106cdb972254c6df3cd08e8477,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,https://github.com/jakeret/tf_unet/commit/e94b5e03a1cfdb12675044afb924aebad4f76f96,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,https://github.com/jakeret/tf_unet/commit/f1460d6c426fd37af021fb0dcbe5b6dabbd44dcb,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,https://github.com/GeorgeSeif/Semantic-Segmentation-Suite/commit/c66253260a4082eeccdc2e708ce65673a36ce38f,,,Rater_1Rater_0,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
